sample_id,pop,origin,data type,,,,,
Sm_TZ_074N_1_2.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_074N_10_2.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_074N_2_2.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_074N_3_2.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_074N_4_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_074N_6_3.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_074N_7_2.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_074N_8_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_074N_9_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_077_2_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_077_3_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_077_4_2.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_077_5_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_077_6_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_077_7_3.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_077_8_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_077_9_2.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_086_1_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_086_2_3.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_086_3_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_086_4_2.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_086_5_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_086_6_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_086_7_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_086_8_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_134_1_1.hc.vcf.gz,Tanzania,Field,exome,,,,,
Sm_TZ_134_2_2.hc.vcf.gz,Tanzania,Field,exome,,,,,
